timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2022-11-27,16457.61000000,16600.00000000,16401.00000000,16428.78000000,162025.47607000,2022-11-27 23:59:59.999,2679048565.52130150,3362221,80097.04098000,1324406073.66946440,0
2022-11-28,16428.77000000,16487.04000000,15995.27000000,16212.91000000,252695.40367000,2022-11-28 23:59:59.999,4096398587.35731400,5570407,125766.80639000,2038825206.54017270,0
2022-11-29,16212.18000000,16548.71000000,16100.00000000,16442.53000000,248106.25009000,2022-11-29 23:59:59.999,4072651066.99940620,5206638,123715.14039000,2030827592.49234990,0
2022-11-30,16442.91000000,17249.00000000,16428.30000000,17163.64000000,303019.80719000,2022-11-30 23:59:59.999,5123595199.50528570,6519330,151764.57285000,2566042182.99636060,0
2022-12-01,17165.53000000,17324.00000000,16855.01000000,16977.37000000,232818.18218000,2022-12-01 23:59:59.999,3972607179.86857180,5097720,116018.88867000,1979692808.00705940,0
2022-12-02,16978.00000000,17105.73000000,16787.85000000,17092.74000000,202372.20620000,2022-12-02 23:59:59.999,3432385161.66025690,4305515,99556.14105000,1688510144.19126210,0
2022-12-03,17092.13000000,17188.98000000,16858.74000000,16885.20000000,154542.57306000,2022-12-03 23:59:59.999,2622504252.86645320,3308694,76214.56604000,1293351463.16091190,0
2022-12-04,16885.20000000,17202.84000000,16878.25000000,17105.70000000,178619.13387000,2022-12-04 23:59:59.999,3040020095.05117780,3948990,89359.35165000,1520945572.07683370,0
2022-12-05,17106.65000000,17424.25000000,16867.00000000,16966.35000000,233703.29225000,2022-12-05 23:59:59.999,4015334796.60372110,5138207,115508.19916000,1984551471.31640810,0
2022-12-06,16966.35000000,17107.01000000,16906.37000000,17088.96000000,218730.76883000,2022-12-06 23:59:59.999,3717926010.34058660,4416864,108449.54144000,1843473774.58616420,0
2022-12-07,17088.96000000,17142.21000000,16678.83000000,16836.64000000,220657.41334000,2022-12-07 23:59:59.999,3723206794.30546690,4284989,107803.05198000,1819002376.49286860,0
2022-12-08,16836.64000000,17299.00000000,16733.49000000,17224.10000000,236417.97804000,2022-12-08 23:59:59.999,4009427525.03041160,4520282,117238.75694000,1988377121.41735070,0
2022-12-09,17224.10000000,17360.00000000,17058.21000000,17128.56000000,238422.06465000,2022-12-09 23:59:59.999,4097973425.69735400,4282003,118031.91364000,2028743141.40682080,0
2022-12-10,17128.56000000,17227.72000000,17092.00000000,17127.49000000,140573.97937000,2022-12-10 23:59:59.999,2411933258.84859990,3032257,70355.34064000,1207126756.21747470,0
2022-12-11,17127.49000000,17270.99000000,17071.00000000,17085.05000000,155286.47871000,2022-12-11 23:59:59.999,2663686104.08256160,3260722,77740.37478000,1333501724.91499000,0
2022-12-12,17085.05000000,17241.89000000,16871.85000000,17209.83000000,226227.49694000,2022-12-12 23:59:59.999,3844787581.48192440,4463916,112286.94413000,1908405023.87630180,0
2022-12-13,17208.93000000,18000.00000000,17080.14000000,17774.70000000,284462.91390000,2022-12-13 23:59:59.999,4983896040.37899540,6242080,143922.84935000,2521692886.96687050,0
2022-12-14,17775.82000000,18387.95000000,17660.94000000,17803.15000000,266681.22209000,2022-12-14 23:59:59.999,4779915721.48445850,5743730,133308.11239000,2389606669.96353140,0
2022-12-15,17804.01000000,17854.82000000,17275.51000000,17356.34000000,223701.96882000,2022-12-15 23:59:59.999,3923378677.83374760,4789226,110193.63642000,1932609296.70913480,0
2022-12-16,17356.96000000,17531.73000000,16527.32000000,16632.12000000,253379.04116000,2022-12-16 23:59:59.999,4308933187.65653970,5703001,123374.83424000,2098188985.00709690,0
2022-12-17,16631.50000000,16796.82000000,16579.85000000,16776.52000000,144825.66684000,2022-12-17 23:59:59.999,2417851422.21312500,3905843,72289.66495000,1206885683.56938190,0
2022-12-18,16777.54000000,16863.26000000,16663.07000000,16738.21000000,112619.31646000,2022-12-18 23:59:59.999,1884666030.09923800,3369193,55539.12922000,929480021.40193500,0
2022-12-19,16739.00000000,16815.99000000,16256.30000000,16438.88000000,179094.28305000,2022-12-19 23:59:59.999,2981094033.01381290,4681887,87610.23510000,1458309480.74524840,0
2022-12-20,16438.88000000,17061.27000000,16397.20000000,16895.56000000,248808.92324000,2022-12-20 23:59:59.999,4176995653.54571100,5945803,124217.38590000,2085423621.74232560,0
2022-12-21,16896.15000000,16925.00000000,16723.00000000,16824.67000000,156810.96362000,2022-12-21 23:59:59.999,2638528723.73604150,4375570,77675.35979000,1307019850.06062180,0
2022-12-22,16824.68000000,16868.52000000,16559.85000000,16821.43000000,176044.27235000,2022-12-22 23:59:59.999,2949612072.04930290,4678640,87573.90221000,1467281598.71908520,0
2022-12-23,16821.90000000,16955.14000000,16731.13000000,16778.50000000,161612.00947000,2022-12-23 23:59:59.999,2720021933.97892650,4561020,81034.18553000,1363871435.61354910,0
2022-12-24,16778.52000000,16869.99000000,16776.62000000,16836.12000000,100224.29096000,2022-12-24 23:59:59.999,1686757294.99263420,3076985,49578.22304000,834395051.27119080,0
2022-12-25,16835.73000000,16857.96000000,16721.00000000,16832.11000000,125441.07202000,2022-12-25 23:59:59.999,2108857873.19167050,3570157,62073.54114000,1043560797.06935230,0
2022-12-26,16832.11000000,16944.52000000,16791.00000000,16919.39000000,124564.00656000,2022-12-26 23:59:59.999,2099037538.63179410,3915571,61741.18011000,1040420821.22625260,0
2022-12-27,16919.39000000,16972.83000000,16592.37000000,16706.36000000,173749.58616000,2022-12-27 23:59:59.999,2918379509.53140980,5047628,86096.58586000,1446098274.56533820,0
2022-12-28,16706.06000000,16785.19000000,16465.33000000,16547.31000000,193037.56577000,2022-12-28 23:59:59.999,3210894236.81239060,5465468,96118.18717000,1598767893.17279690,0
2022-12-29,16547.32000000,16664.41000000,16488.91000000,16633.47000000,160998.47158000,2022-12-29 23:59:59.999,2671665748.08162260,4553877,80977.62443000,1343799862.99502670,0
2022-12-30,16633.47000000,16677.35000000,16333.00000000,16607.48000000,164916.31174000,2022-12-30 23:59:59.999,2726831056.72502610,4310415,82170.47490000,1358631100.75924430,0
2022-12-31,16607.48000000,16644.09000000,16470.00000000,16542.40000000,114490.42864000,2022-12-31 23:59:59.999,1897047504.91889730,3344374,57021.06919000,944834393.34133540,0
2023-01-01,16541.77000000,16628.00000000,16499.01000000,16616.75000000,96925.41374000,2023-01-01 23:59:59.999,1604793789.67721260,3218355,48548.78168000,803841673.83505870,0
2023-01-02,16617.17000000,16799.23000000,16548.70000000,16672.87000000,121888.57191000,2023-01-02 23:59:59.999,2034683215.26787840,4036118,60925.25948000,1017074780.69180630,0
2023-01-03,16672.78000000,16778.40000000,16605.28000000,16675.18000000,159541.53733000,2023-01-03 23:59:59.999,2662765916.32566840,5097596,79595.76246000,1328471402.71367460,0
2023-01-04,16675.65000000,16991.87000000,16652.66000000,16850.36000000,220362.18862000,2023-01-04 23:59:59.999,3709833209.84536520,6310703,109747.11502000,1847617011.38537700,0
2023-01-05,16850.36000000,16879.82000000,16753.00000000,16831.85000000,163473.56641000,2023-01-05 23:59:59.999,2751080253.81773340,4842014,80959.57162000,1362471754.05329920,0
2023-01-06,16831.85000000,17041.00000000,16679.00000000,16950.65000000,207401.28415000,2023-01-06 23:59:59.999,3490305009.68812240,5388661,103320.22965000,1738828235.20230050,0
2023-01-07,16950.31000000,16981.91000000,16908.00000000,16943.57000000,104526.56880000,2023-01-07 23:59:59.999,1770201710.20897340,3227161,51624.83107000,874295207.63651240,0
2023-01-08,16943.83000000,17176.99000000,16911.00000000,17127.83000000,135155.89695000,2023-01-08 23:59:59.999,2291925699.95854550,4036092,67200.60250000,1139647002.76085130,0
2023-01-09,17127.83000000,17398.80000000,17104.66000000,17178.26000000,266211.52723000,2023-01-09 23:59:59.999,4590284350.54616930,6327667,131748.52517000,2271681164.79933240,0
2023-01-10,17179.04000000,17499.00000000,17146.34000000,17440.66000000,221382.42581000,2023-01-10 23:59:59.999,3829247653.73110520,5448751,109377.45606000,1891995855.28760790,0
2023-01-11,17440.64000000,18000.00000000,17315.60000000,17943.26000000,262221.60653000,2023-01-11 23:59:59.999,4586965947.26354980,5627464,129944.56930000,2273368097.02926420,0
2023-01-12,17943.26000000,19117.04000000,17892.05000000,18846.62000000,454568.32178000,2023-01-12 23:59:59.999,8348431207.84600970,8911373,227295.33172000,4174813798.38286060,0
2023-01-13,18846.62000000,20000.00000000,18714.12000000,19930.01000000,368615.87823000,2023-01-13 23:59:59.999,7061633461.44473400,8021774,183448.89377000,3515300890.30505730,0
2023-01-14,19930.01000000,21258.00000000,19888.05000000,20954.92000000,393913.74951000,2023-01-14 23:59:59.999,8183071567.04618820,8659545,197817.55209000,4109568162.17041980,0
2023-01-15,20952.76000000,21050.74000000,20551.01000000,20871.50000000,178542.22549000,2023-01-15 23:59:59.999,3710526606.13896440,5194354,88310.83908000,1835436631.70387060,0
2023-01-16,20872.99000000,21474.05000000,20611.48000000,21185.65000000,293078.08262000,2023-01-16 23:59:59.999,6168654053.04263760,6856434,145352.66942000,3059597458.38535250,0
